id,title,text,topic,source
0_0,Argo (oceanography),"Argo is an international programme for researching the ocean. It uses profiling floats to observe temperature, salinity and currents. Recently it has observed bio-optical properties in the Earth's oceans",argo_float,Wikipedia
0_1,Argo (oceanography),It has been operating since the early 2000s. The real-time data it provides support climate and oceanographic research. A special research interest is to quantify the ocean heat content (OHC),argo_float,Wikipedia
0_2,Argo (oceanography),"The Argo fleet consists of almost 4000 drifting ""Argo floats"" (as profiling floats used by the Argo program are often called) deployed worldwide. Each float weighs 20–30 kg. In most cases probes drift at a depth of 1000 metres",argo_float,Wikipedia
0_3,Argo (oceanography),"Experts call this the parking depth. Every 10 days, by changing their buoyancy, they dive to a depth of 2000 metres and then move to the sea-surface. As they move they measure conductivity and temperature profiles as well as pressure",argo_float,Wikipedia
0_4,Argo (oceanography),"Scientists calculate salinity and density from these measurements. Seawater density is important in determining large-scale motions in the ocean.
Average current velocities at 1000 metres are directly measured by the distance and direction a float drifts while parked at that depth, which is determined by GPS or Argos system positions at the surface. The data is transmitted to shore via satellite, and is freely available to everyone, without restrictions.
The Argo program is named after the Greek mythical ship Argo to emphasize the complementary relationship of Argo with the Jason satellite altimeters",argo_float,Wikipedia
0_5,Argo (oceanography),"Both the standard Argo floats and the 4 satellites launched so far to monitor changing sea-level all operate on a 10-day duty cycle.


== International collaboration ==
The Argo program is a collaborative partnership of more than 30 nations from all continents (most shown on the graphic map in this article) that maintains a global array and provides a dataset anyone can use to explore the ocean environment. Argo is a component of the Global Ocean Observing System (GOOS), and is coordinated by the Argo Steering Team, an international body of scientists and technical experts that meets once per year.  The Argo data stream is managed by the Argo Data Management Team",argo_float,Wikipedia
0_6,Argo (oceanography),"Argo is also supported by the Group on Earth Observations, and has been endorsed since its beginnings by the World Climate Research Programme's CLIVAR Project (Variability and predictability of the ocean-atmosphere system), and by the Global Ocean Data Assimilation Experiment (GODAE OceanView).


== History ==

A program called Argo was first proposed at OceanObs 1999 which was a conference organised by international agencies with the aim of creating a coordinated approach to ocean observations.  The original Argo prospectus was created by a small group of scientists, chaired by Dean Roemmich, who described a program that would have a global array of about 3000 floats in place by sometime in 2007. The 3000-float array was achieved in November 2007 and was global",argo_float,Wikipedia
0_7,Argo (oceanography),"The Argo Steering Team met for the first time in 1999 in Maryland (USA) and outlined the principles of global data sharing.  
The Argo Steering Team made a 10-year report to OceanObs-2009  and received suggestions on how the array might be improved.  These suggestions included enhancing the array at high latitudes, in marginal seas (such as the Gulf of Mexico and the Mediterranean) and along the equator, improved observation of strong boundary currents (such as the Gulf Stream and Kuroshio), extension of observations into deep water and the addition of sensors for monitoring biological and chemical changes in the oceans",argo_float,Wikipedia
0_8,Argo (oceanography),"In November 2012 an Indian float in the Argo array gathered the one-millionth profile (twice the number collected by research vessels during all of the 20th century) an event that was reported in several press releases. As can be seen in the plot opposite, by early 2018 the Bio-Argo program is expanding rapidly.


== Float design and operation ==

The critical capability of an Argo float is its ability to rise and descend in the ocean on a programmed schedule. The floats do this by changing their effective density",argo_float,Wikipedia
0_9,Argo (oceanography),"The density of any object is given by its mass divided by its volume. The Argo float keeps its mass constant, but by altering its volume, it changes its density. To do this, mineral oil is forced out of the float's pressure case and expands a rubber bladder at the bottom end of the float",argo_float,Wikipedia
1_0,Ocean acidification,"Ocean acidification is the ongoing decrease in the pH of the Earth's ocean. Between 1950 and 2020, the average pH of the ocean surface fell from approximately 8.15 to 8.05. Carbon dioxide emissions from human activities are the primary cause of ocean acidification, with atmospheric carbon dioxide (CO2) levels exceeding 422 ppm (as of 2024)",ocean_acidification,Wikipedia
1_1,Ocean acidification,"CO2 from the atmosphere is absorbed by the oceans. This chemical reaction produces carbonic acid (H2CO3) which dissociates into a bicarbonate ion (HCO−3) and a hydrogen ion (H+). The presence of free hydrogen ions (H+) lowers the pH of the ocean, increasing acidity (this does not mean that seawater is acidic yet; it is still alkaline, with a pH higher than 8)",ocean_acidification,Wikipedia
1_2,Ocean acidification,"Marine calcifying organisms, such as mollusks and corals, are especially vulnerable because they rely on calcium carbonate to build shells and skeletons.
A change in pH by 0.1 represents a 26% increase in hydrogen ion concentration in the world's oceans (the pH scale is logarithmic, so a change of one in pH units is equivalent to a tenfold change in hydrogen ion concentration). Sea-surface pH and carbonate saturation states vary depending on ocean depth and location. Colder and higher latitude waters are capable of absorbing more CO2",ocean_acidification,Wikipedia
1_3,Ocean acidification,"This can cause acidity to rise, lowering the pH and carbonate saturation levels in these areas. There are several other factors that influence the atmosphere-ocean CO2 exchange, and thus local ocean acidification. These include ocean currents and upwelling zones, proximity to large continental rivers, sea ice coverage, and atmospheric exchange with nitrogen and sulfur from fossil fuel burning and agriculture.
A lower ocean pH has a range of potentially harmful effects for marine organisms",ocean_acidification,Wikipedia
1_4,Ocean acidification,"Scientists have observed for example reduced calcification, lowered immune responses, and reduced energy for basic functions such as reproduction. Ocean acidification can impact marine ecosystems that provide food and livelihoods for many people. About one billion people are wholly or partially dependent on the fishing, tourism, and coastal management services provided by coral reefs",ocean_acidification,Wikipedia
1_5,Ocean acidification,"Ongoing acidification of the oceans may therefore threaten food chains linked with the oceans.
One of the only solutions that would address the root cause of ocean acidification is reducing carbon dioxide emissions. This is one of the main objectives of climate change mitigation measures. The removal of carbon dioxide from the atmosphere would also help to reverse ocean acidification",ocean_acidification,Wikipedia
1_6,Ocean acidification,"In addition, there are some specific ocean-based mitigation methods, for example ocean alkalinity enhancement and enhanced weathering. These strategies are under investigation, but generally have a low technology readiness level and many risks.
Ocean acidification has happened before in Earth's geologic history. The resulting ecological collapse in the oceans had long-lasting effects on the global carbon cycle and climate.


== Cause ==

In 2021, atmospheric carbon dioxide (CO2) levels of around 415 ppm were around 50% higher than preindustrial concentrations",ocean_acidification,Wikipedia
1_7,Ocean acidification,"According to the National Oceanic and Atmospheric Administration in 2023, atmospheric CO2 levels have risen from approximately 280 parts per million (ppm) in the pre-industrial era to over 410 ppm today, primarily due to human activities such as fossil fuel combustion and deforestation. The current elevated levels and rapid growth rates are unprecedented in the past 55 million years of the geological record. The sources of this excess CO2 are clearly established as human driven: they include anthropogenic fossil fuel, industrial, and land-use/land-change emissions",ocean_acidification,Wikipedia
1_8,Ocean acidification,"One source of this is fossil fuels, which are burned for energy. When burned, CO2 is released into the atmosphere as a byproduct of combustion, which is a significant contributor to the increasing levels of CO2 in the Earth's atmosphere. The ocean acts as a carbon sink for anthropogenic CO2 and takes up roughly a quarter of total anthropogenic CO2 emissions",ocean_acidification,Wikipedia
1_9,Ocean acidification,"However, the additional CO2 in the ocean results in a wholesale shift in seawater acid-base chemistry toward more acidic, lower pH conditions and lower saturation states for carbonate minerals used in many marine organism shells and skeletons.
Accumulated since 1850, the ocean sink holds up to 175±35 gigatons of carbon, with more than two-thirds of this amount (120 Gt C) being taken up by the global ocean since 1960. Over the historical period, the ocean sink increased in pace with the exponential anthropogenic emissions increase. From 1850 until 2022, the ocean has absorbed 26% of total anthropogenic emissions",ocean_acidification,Wikipedia
2_0,Coral reef,"A coral reef is an underwater ecosystem characterized by reef-building corals. Reefs are formed of colonies of coral polyps held together by calcium carbonate. Most coral reefs are built from stony corals, whose polyps cluster in groups.
Coral belongs to the class Anthozoa in the animal phylum Cnidaria, which includes sea anemones and jellyfish",coral_reef,Wikipedia
2_1,Coral reef,"Unlike sea anemones, corals secrete hard carbonate exoskeletons that support and protect the coral. Most reefs grow best in warm, shallow, clear, sunny, and agitated water. Coral reefs first appeared 485 million years ago, at the dawn of the Early Ordovician, displacing the microbial and sponge reefs of the Cambrian.
Sometimes called rainforests of the sea, shallow coral reefs form some of Earth's most diverse ecosystems",coral_reef,Wikipedia
2_2,Coral reef,"They occupy less than 0.1% of the world's ocean area, about half the area of France. Yet, they provide a home for at least 25% of all marine species, including fish, mollusks, worms, crustaceans, echinoderms, sponges, tunicates and other cnidarians. Coral reefs flourish in ocean waters that provide few nutrients",coral_reef,Wikipedia
2_3,Coral reef,"They are most commonly found at shallow depths in tropical waters, but deep water and cold water coral reefs exist on smaller scales in other areas.
Shallow tropical coral reefs have declined by 50% since 1950, partly because they are sensitive to water conditions. They are under threat from excess nutrients (nitrogen and phosphorus), rising ocean heat content and acidification, overfishing (e.g., from blast fishing, cyanide fishing, spearfishing on scuba), sunscreen use, and harmful land-use practices, including runoff and seeps (e.g., from injection wells and cesspools).
Coral reefs deliver ecosystem services for tourism, fisheries, and shoreline protection. The annual global economic value of coral reefs has been estimated at anywhere from US$30–375 billion (1997 and 2003 estimates) to US$2.7 trillion (a 2020 estimate) to US$9.9 trillion (a 2014 estimate).


== Formation ==

Most coral reefs were formed after the Last Glacial Period when melting ice caused sea level to rise and flood continental shelves",coral_reef,Wikipedia
2_4,Coral reef,"Most coral reefs are less than 10,000 years old. As communities established themselves, the reefs grew upward, keeping pace with rising sea levels. Reefs that rose too slowly could become drowned, without sufficient light",coral_reef,Wikipedia
2_5,Coral reef,"Coral reefs are also found in the deep sea away from continental shelves, around oceanic islands and atolls. The majority of these islands are volcanic in origin. Others have tectonic origins where plate movements lifted the deep ocean floor.
In The Structure and Distribution of Coral Reefs, Charles Darwin set out his theory of the formation of atoll reefs, an idea he conceived during the voyage of the Beagle",coral_reef,Wikipedia
2_6,Coral reef,He theorized that uplift and subsidence of Earth's oceanic crust beneath the oceans formed the atolls. Darwin set out a sequence of three stages in atoll formation. A fringing reef forms around an extinct volcanic island as the island and ocean floor subside,coral_reef,Wikipedia
2_7,Coral reef,"As the subsidence continues, the fringing reef becomes a barrier reef and ultimately an atoll reef.

Darwin predicted that underneath each lagoon would be a bedrock base, the remains of the original volcano. Subsequent research supported this hypothesis. Darwin's theory followed from his understanding that coral polyps thrive in the tropics where the water is agitated, but can only live within a limited depth range, starting just below low tide",coral_reef,Wikipedia
2_8,Coral reef,"Where the underlying earth allows, corals grow along the coast to form fringing reefs, which can eventually become barrier reefs.

Where the bottom is rising, fringing reefs can grow around the coast, but coral raised above sea level dies. If the land subsides slowly, the fringing reefs keep pace by growing upward on a base of older, dead coral, forming a barrier reef that encloses a lagoon between the reef and the land. A barrier reef can encircle an island, and once the island sinks below sea level, a roughly circular atoll of growing coral continues to keep up with the sea level, forming a central lagoon",coral_reef,Wikipedia
2_9,Coral reef,"Barrier reefs and atolls do not usually form complete circles but are broken in places by storms. Like sea level rise, a rapidly subsiding bottom can overwhelm coral growth, killing the coral and the reef, due to what is called coral drowning. Corals that rely on zooxanthellae can die when the water becomes too deep for their symbionts to adequately photosynthesize, due to decreased light exposure.
The two main variables determining the geomorphology, or shape, of coral reefs are the nature of the substrate on which they rest, and the history of the change in sea level relative to that substrate.
The approximately 20,000-year-old Great Barrier Reef offers an example of how coral reefs formed on continental shelves",coral_reef,Wikipedia
3_0,Marine biology,"Marine biology is the scientific study of the biology of marine life, organisms that inhabit the sea. Given that in biology many phyla, families and genera have some species that live in the sea and others that live on land, marine biology classifies species based on the environment rather than on taxonomy.
A large proportion of all life on Earth lives in the ocean. The exact size of this ""large proportion"" is unknown, since many ocean species are still to be discovered",marine_biology,Wikipedia
3_1,Marine biology,"The ocean is a complex three-dimensional world, covering approximately 71% of the Earth's surface. The habitats studied in marine biology include everything from the tiny layers of surface water in which organisms and abiotic items may be trapped in surface tension between the ocean and atmosphere, to the depths of the oceanic trenches, sometimes 10,000 meters or more beneath the surface of the ocean.
Specific habitats include estuaries, coral reefs, kelp forests, seagrass meadows, the surrounds of seamounts and thermal vents, tidepools, muddy, sandy and rocky bottoms, and the open ocean (pelagic) zone, where solid objects are rare and the surface of the water is the only visible boundary. The organisms studied range from microscopic phytoplankton and zooplankton to huge cetaceans (whales) 25–32 meters (82–105 feet) in length",marine_biology,Wikipedia
3_2,Marine biology,"Marine ecology is the study of how marine organisms interact with each other and the environment.
Marine life is a vast resource, providing food, medicine, and raw materials, in addition to helping to support recreation and tourism all over the world. At a fundamental level, marine life helps determine the very nature of our planet. Marine organisms contribute significantly to the oxygen cycle, and are involved in the regulation of the Earth's climate",marine_biology,Wikipedia
3_3,Marine biology,"Shorelines are in part shaped and protected by marine life, and some marine organisms even help create new land.
Many species are economically important to humans, including both finfish and shellfish. It is also becoming understood that the well-being of marine organisms and other organisms are linked in fundamental ways. The human body of knowledge regarding the relationship between life in the sea and important cycles is rapidly growing, with new discoveries being made nearly every day",marine_biology,Wikipedia
3_4,Marine biology,"These cycles include those of matter (such as the carbon cycle) and of air (such as Earth's respiration, and movement of energy through ecosystems including the ocean). Large areas beneath the ocean surface still remain effectively unexplored.


== Biological oceanography ==

Marine biology can be contrasted with biological oceanography. Marine life is a field of study both in marine biology and in biological oceanography",marine_biology,Wikipedia
3_5,Marine biology,"Biological oceanography is the study of how organisms affect and are affected by the physics, chemistry, and geology of the oceanographic system. Biological oceanography mostly focuses on the microorganisms within the ocean; looking at how they are affected by their environment and how that affects larger marine creatures and their ecosystem.
Biological oceanography is similar to marine biology, but it studies ocean life from a different perspective. Biological oceanography takes a bottom up approach in terms of the food web, while marine biology studies the ocean from a top down perspective",marine_biology,Wikipedia
3_6,Marine biology,"Biological oceanography mainly focuses on the ecosystem of the ocean with an emphasis on plankton: their diversity (morphology, nutritional sources, motility, and metabolism); their productivity and how that plays a role in the global carbon cycle; and their distribution (predation and life cycle). Biological oceanography also investigates the role of microbes in food webs, and how humans impact the ecosystems in the oceans.


== Marine habitats ==

Marine habitats can be divided into coastal and open ocean habitats. Coastal habitats are found in the area that extends from the shoreline to the edge of the continental shelf",marine_biology,Wikipedia
3_7,Marine biology,"Most marine life is found in coastal habitats, even though the shelf area occupies only seven percent of the total ocean area. Open ocean habitats are found in the deep ocean beyond the edge of the continental shelf. Alternatively, marine habitats can be divided into pelagic and demersal habitats",marine_biology,Wikipedia
3_8,Marine biology,"Pelagic habitats are found near the surface or in the open water column, away from the bottom of the ocean and affected by ocean currents, while demersal habitats are near or on the bottom. Marine habitats can be modified by their inhabitants. Some marine organisms, like corals, kelp and sea grasses, are ecosystem engineers which reshape the marine environment to the point where they create further habitat for other organisms.


=== Intertidal and near shore ===

Intertidal zones, the areas that are close to the shore, are constantly being exposed and covered by the ocean's tides",marine_biology,Wikipedia
3_9,Marine biology,A huge array of life can be found within this zone. Shore habitats span from the upper intertidal zones to the area where land vegetation takes prominence. It can be underwater anywhere from daily to very infrequently,marine_biology,Wikipedia
4_0,Tsunami,"A tsunami ( (t)soo-NAH-mee, (t)suu-; from Japanese: 津波, lit. 'harbour wave', pronounced [tsɯnami]) is a series of waves in a water body caused by the displacement of a large volume of water, generally in an ocean or a large lake. Earthquakes, volcanic eruptions and underwater explosions (including detonations, landslides, glacier calvings, meteorite impacts and other disturbances) above or below water all have the potential to generate a tsunami. Unlike normal ocean waves, which are generated by wind, or tides, which are in turn generated by the gravitational pull of the Moon and the Sun, a tsunami is generated by the displacement of water from a large event.
Tsunami waves do not resemble normal undersea currents or sea waves because their wavelength is far longer",tsunami,Wikipedia
4_1,Tsunami,"Rather than appearing as a breaking wave, a tsunami may instead initially resemble a rapidly rising tide. For this reason, it is often referred to as a tidal wave, although this usage is not favoured by the scientific community because it might give the false impression of a causal relationship between tides and tsunamis. Tsunamis generally consist of a series of waves, with periods ranging from minutes to hours, arriving in a so-called ""wave train""",tsunami,Wikipedia
4_2,Tsunami,"Wave heights of tens of metres can be generated by large events. Although the impact of tsunamis is limited to coastal areas, their destructive power can be enormous, and they can affect entire ocean basins. The 2004 Indian Ocean tsunami was among the deadliest natural disasters in human history, with at least 230,000 people killed or missing in 14 countries bordering the Indian Ocean.
The Ancient Greek historian Thucydides suggested in his 5th century BC History of the Peloponnesian War that tsunamis were related to submarine earthquakes, but the understanding of tsunamis remained slim until the 20th century, and much remains unknown",tsunami,Wikipedia
4_3,Tsunami,"Major areas of current research include determining why some large earthquakes do not generate tsunamis while other smaller ones do. This ongoing research is designed to help accurately forecast the passage of tsunamis across oceans as well as how tsunami waves interact with shorelines.


== Terminology ==


=== Tsunami ===

The term ""tsunami"" is a borrowing from the Japanese tsunami (津波), meaning 'harbour wave'. For the plural, one can either follow ordinary English practice and add an s, or use an invariable plural as in the Japanese",tsunami,Wikipedia
4_4,Tsunami,"Some English speakers alter the word's initial /ts/ to an /s/ by dropping the ""t,"" since English does not natively permit /ts/ at the beginning of words, though the original Japanese pronunciation is /ts/. The term has become commonly accepted in English, although its literal Japanese meaning is not necessarily descriptive of the waves, which do not occur only in harbours.


=== Tidal wave ===

Tsunamis are sometimes referred to as tidal waves. This once-popular term derives from the most common appearance of a tsunami, which is that of an extraordinarily high tidal bore",tsunami,Wikipedia
4_5,Tsunami,"Tsunamis and tides both produce waves of water that move inland, but in the case of a tsunami, the inland movement of water may be much greater, giving the impression of an incredibly high and forceful tide. In recent years, the term ""tidal wave"" has fallen out of favour, especially in the scientific community, because the causes of tsunamis have nothing to do with those of tides, which are produced by the gravitational pull of the moon and sun rather than the displacement of water. Although the meanings of ""tidal"" include ""resembling"" or ""having the form or character of"" tides, use of the term tidal wave is discouraged by geologists and oceanographers.


=== Seismic sea wave ===
The term seismic sea wave is also used to refer to the phenomenon because the waves most often are generated by seismic activity such as earthquakes",tsunami,Wikipedia
4_6,Tsunami,"Prior to the rise of the use of the term tsunami in English, scientists generally encouraged the use of the term seismic sea wave rather than tidal wave. However, like tidal wave, seismic sea wave is not a completely accurate term, as forces other than earthquakes—including underwater landslides, volcanic eruptions, underwater explosions, land or ice slumping into the ocean, meteorite impacts, and the weather when the atmospheric pressure changes very rapidly—can generate such waves by displacing water.


=== Other terms ===
The use of the term tsunami for waves created by landslides entering bodies of water has become internationally widespread in both scientific and popular literature, although such waves are distinct in origin from large waves generated by earthquakes. This distinction sometimes leads to the use of other terms for landslide-generated waves, including landslide-triggered tsunami, displacement wave, non-seismic wave, impact wave, and, simply, giant wave.
A tsunami which cannot be linked to an earthquake is sometimes termed an ""orphan tsunami""",tsunami,Wikipedia
4_7,Tsunami,"This may happen in the case of tsunamis caused in the distant past, before international communications, by earthquakes far away, such as a tsunami in Japan caused by an earthquake in the Americas.


== History ==

Japan has the longest recorded history of tsunamis.
As early as 426 BC the Greek historian Thucydides inquired in his book History of the Peloponnesian War about the causes of tsunami, and was the first to argue that ocean earthquakes must be the cause. The oldest human record of a tsunami dates back to 479 BC, in the Greek colony of Potidaea, thought to be triggered by an earthquake. The tsunami may have saved the colony from an invasion by the Achaemenid Empire.

The cause, in my opinion, of this phenomenon must be sought in the earthquake",tsunami,Wikipedia
4_8,Tsunami,"At the point where its shock has been the most violent the sea is driven back, and suddenly recoiling with redoubled force, causes the inundation. Without an earthquake I do not see how such an accident could happen.
The Roman historian Ammianus Marcellinus (Res Gestae 26.10.15–19) described the typical sequence of a tsunami, including an incipient earthquake, the sudden retreat of the sea and a following gigantic wave, after the 365 AD tsunami devastated Alexandria.
Tsunamis are an often underestimated hazard in the Mediterranean Sea and parts of Europe. Of historical and current (with regard to risk assumptions) importance are the 1755 Lisbon earthquake and tsunami, the 1783 Calabrian earthquakes, each causing several tens of thousands of deaths and the 1908 Messina earthquake and tsunami",tsunami,Wikipedia
